측정지역,법적구분,용도구분,지역구분,측정지점,측정년도,측정분기,평균 낮,평균 밤,낮 09시 자료,낮 12시 자료,낮 16시 자료,낮 20시 자료,밤 23시 자료,밤 01시 자료
기장군기장읍,나,일반주거,일반,대진아파트 앞,2022,1,65,63,65,68,66,63,64,62
기장군기장읍,나,일반주거,일반,유한빌라 앞,2022,1,59,59,58,60,61,59,65,53
기장군정관읍,나,일반주거,도로,EG더원,2022,1,66,59,65,65,68,66,63,56
기장군정관읍,나,일반주거,도로,LH아파트,2022,1,65,59,66,65,65,65,61,58
기장군정관읍,나,일반주거,일반,동일스위트,2022,1,52,49,50,52,51,55,47,52
기장군정관읍,나,일반주거,일반,이진캐스빌,2022,1,48,42,50,46,51,47,45,40
기장군정관읍,나,일반주거,일반,하늘애,2022,1,62,54,62,63,63,61,55,54
동래구사직2동,나,일반주거,도로,시티부동산 건너편,2022,1,63,57,62,64,64,62,61,53
동래구사직2동,나,일반주거,도로,종로엠스쿨 앞,2022,1,65,59,65,66,66,65,62,57
동래구사직2동,나,일반주거,일반,남다른대구막창 앞,2022,1,58,53,60,57,58,57,57,50
동래구사직2동,나,일반주거,일반,대구반야월막창 사직점 앞,2022,1,61,56,59,60,63,63,58,55
동래구사직2동,나,일반주거,일반,쌍용예가 107동 앞,2022,1,65,55,67,72,64,60,59,51
해운대구중1동,다,상업지역,도로,노보텔호텔 우,2022,1,72,68,73,72,72,73,70,67
해운대구중1동,다,상업지역,도로,노보텔호텔 좌,2022,1,70,67,71,71,69,71,69,66
해운대구중1동,다,상업지역,일반,노보텔호텔 뒤,2022,1,57,54,53,59,60,59,51,58
해운대구중1동,다,상업지역,일반,파라다이스호텔 옆,2022,1,57,53,55,57,57,59,54,53
해운대구중1동,다,상업지역,일반,파라다이스호텔 입구,2022,1,66,61,65,69,65,65,61,62
영도구남항동,다,준공업지역,도로,구 남항새마을금고 앞,2022,1,67,66,67,67,67,67,67,65
영도구남항동,다,준공업지역,도로,카이스트안경 앞,2022,1,68,63,68,68,69,67,65,61
영도구남항동,다,준공업지역,일반,신한아파트 앞,2022,1,59,57,61,62,60,53,67,47
영도구남항동,다,준공업지역,일반,영도종합상가 앞,2022,1,65,43,64,61,66,70,45,41
영도구남항동,다,준공업지역,일반,유성티엠주식회사 앞,2022,1,64,60,71,64,66,58,59,61
중구대청공원,가,녹지,도로,시민아파트 앞,2022,2,65,61,67,65,66,65,64,58
중구대청공원,가,녹지,도로,시민헌장 앞,2022,2,55,49,57,55,56,55,54,44
중구대청공원,가,녹지,일반,도서관 앞,2022,2,54,47,56,55,53,52,50,45
중구대청공원,가,녹지,일반,동상 앞,2022,2,50,44,49,50,51,52,46,42
중구대청공원,가,녹지,일반,충혼탑입구,2022,2,60,54,71,58,58,55,60,48
부산진구개금2동백병원주변,가,종합병원,도로,개금2동새마을금고 앞,2022,2,62,56,63,63,63,59,57,55
부산진구개금2동백병원주변,가,종합병원,도로,주원초등학교 앞,2022,2,61,55,62,63,62,59,57,54
부산진구개금2동백병원주변,가,종합병원,일반,건강탕 앞,2022,2,57,49,58,60,57,55,52,46
부산진구개금2동백병원주변,가,종합병원,일반,고원아파트1동 107호 앞,2022,2,53,49,54,55,56,50,49,49
부산진구개금2동백병원주변,가,종합병원,일반,하성약국 옆,2022,2,57,45,58,59,55,56,46,45
강서구명지동,나,일반주거,도로,더웨스턴,2022,2,64,58,64,62,65,65,61,55
강서구명지동,나,일반주거,도로,퀸덤아파트,2022,2,62,58,63,62,63,62,61,56
